strategy,ts_iso,ticker,sport,side,entry,contracts,pnl_usd,won,edge_pp,reason
Dip Buy,2025-03-01T03:54:45.243Z,KXHIGHNY-25MAR01-T58,Other,yes,0.1200,1,0.8700,1,10.018639579070447,"Dip buy: 43.4% below mean, edge=10.0pp"
Dip Buy,2025-03-01T04:10:58.726Z,KXBTCD-25MAR0100-T85749.99,Crypto,yes,0.1200,1,0.8700,1,8.723012987012986,"Dip buy: 47.6% below mean, edge=8.7pp"
Dip Buy,2025-03-01T16:58:19.439Z,KXHIGHMIA-25MAR01-B80.5,Other,yes,0.1200,1,0.8700,1,5.723221166892807,"Dip buy: 34.3% below mean, edge=5.7pp"
Dip Buy,2025-03-01T17:01:04.418Z,KXHIGHMIA-25MAR01-B80.5,Other,yes,0.1200,1,0.8700,1,5.204537549407111,"Dip buy: 30.4% below mean, edge=5.2pp"
Dip Buy,2025-03-02T01:33:28.459Z,KXBTC-25MAR0121-B86375,Crypto,yes,0.1200,1,0.8700,1,10.033314093314095,"Dip buy: 69.0% below mean, edge=10.0pp"
Dip Buy,2025-03-02T16:57:14.390Z,KXBTC-25MAR0212-B91375,Crypto,yes,0.1200,1,0.8700,1,7.458707070707073,"Dip buy: 49.1% below mean, edge=7.5pp"
Dip Buy,2025-03-02T19:36:47.516Z,KXHIGHDEN-25MAR02-T65,Other,yes,0.1200,1,0.8700,1,10.217463002114167,"Dip buy: 59.1% below mean, edge=10.2pp"
Dip Buy,2025-03-02T21:17:20.031Z,KXLALIGA-25-BAR,Sports,yes,0.1200,1,0.8700,1,13.452393305439331,"Dip buy: 75.5% below mean, edge=13.5pp"
Dip Buy,2025-03-02T21:24:12.709Z,KXHIGHDEN-25MAR02-T65,Other,yes,0.1200,1,0.8700,1,10.320372093023257,"Dip buy: 59.1% below mean, edge=10.3pp"
Dip Buy,2025-03-03T00:09:18.957Z,KXOSCARMENTION-25MAR-KSOF,Other,yes,0.1200,1,0.8700,1,12.044029563932003,"Dip buy: 76.2% below mean, edge=12.0pp"
Dip Buy,2025-03-03T00:31:36.566Z,KXOSCARPROD-25-W,Other,yes,0.1200,1,0.8700,1,6.587835920177383,"Dip buy: 85.7% below mean, edge=6.6pp"
Dip Buy,2025-03-03T23:24:57.628Z,KXTORNADO-25MAR-200,Other,yes,0.1200,1,0.8700,1,6.656830230010953,"Dip buy: 27.1% below mean, edge=6.7pp"
Dip Buy,2025-03-04T03:58:31.698Z,KXTORNADO-25MAR-200,Other,yes,0.1200,1,0.8700,1,6.138784345699146,"Dip buy: 21.1% below mean, edge=6.1pp"
Dip Buy,2025-03-04T13:06:10.714Z,KXHIGHDEN-25MAR04-B46.5,Other,yes,0.1200,1,0.8700,1,6.834549643904482,"Dip buy: 59.4% below mean, edge=6.8pp"
Dip Buy,2025-03-04T17:28:13.543Z,KXHIGHPHIL-25MAR04-T59,Other,yes,0.1200,1,0.8700,1,6.3604905660377336,"Dip buy: 44.7% below mean, edge=6.4pp"
Dip Buy,2025-03-04T21:25:43.595Z,KXETH-25MAR0417-B2160,Crypto,yes,0.1200,1,0.8700,1,4.668626742587868,"Dip buy: 62.0% below mean, edge=4.7pp"
Dip Buy,2025-03-05T04:51:46.806Z,KXTORNADO-25MAR-200,Other,yes,0.1200,1,0.8700,1,5.723022939677145,"Dip buy: 17.8% below mean, edge=5.7pp"
Dip Buy,2025-03-05T17:55:37.821Z,KXBTC-25MAR0513-B89625,Crypto,yes,0.1200,1,0.8700,1,7.003772727272726,"Dip buy: 48.4% below mean, edge=7.0pp"
Dip Buy,2025-03-06T02:28:14.968Z,KXHIGHPHIL-25MAR06-B57.5,Other,yes,0.1200,1,0.8700,1,9.890448334274419,"Dip buy: 45.3% below mean, edge=9.9pp"
Dip Buy,2025-03-06T02:31:28.188Z,KXHIGHPHIL-25MAR06-B57.5,Other,yes,0.1200,1,0.8700,1,9.547493761140817,"Dip buy: 42.5% below mean, edge=9.5pp"
Dip Buy,2025-03-06T04:31:02.615Z,KXBTCD-25MAR0600-T91999.99,Crypto,yes,0.1200,1,0.8700,1,4.84710258548791,"Dip buy: 46.2% below mean, edge=4.8pp"
Dip Buy,2025-03-07T01:40:14.905Z,KXBTCD-25MAR0621-T87999.99,Crypto,yes,0.1200,1,0.8700,1,4.938523281596454,"Dip buy: 26.2% below mean, edge=4.9pp"
Dip Buy,2025-03-07T19:58:07.139Z,KXHIGHAUS-25MAR07-B82.5,Other,yes,0.1200,1,0.8700,1,6.385906258047901,"Dip buy: 50.1% below mean, edge=6.4pp"
Dip Buy,2025-03-07T22:17:37.798Z,KXHIGHLAX-25MAR07-B59.5,Other,yes,0.1200,1,0.8700,1,5.950545454545457,"Dip buy: 66.7% below mean, edge=6.0pp"
Dip Buy,2025-03-07T23:14:49.299Z,KXBTCD-25MAR0719-T86749.99,Crypto,yes,0.1200,1,0.8700,1,6.328655971479501,"Dip buy: 71.2% below mean, edge=6.3pp"
Dip Buy,2025-03-01T00:22:41.744Z,KXBTCD-25FEB2820-T83999.99,Crypto,yes,0.8600,1,-0.8600,0,4.795155080213909,"Dip buy: 5.9% below mean, edge=4.8pp"
