rank,strategy,total_pnl_usd,win_rate_pct,sharpe_approx,max_dd_pct,trades,trades_per_hour,expectancy_per_trade_usd,synthetic_outcome_trades
1,Market Maker,0.00,100.00,0.0000,0.00,1,0.01,0.0037,0
2,Dip Buy,0.00,0.00,0.0000,0.00,0,0.00,0.0000,0
3,Fresh Wallet,0.00,0.00,0.0000,0.00,0,0.00,0.0000,0
4,Sharp Wallet,0.00,0.00,0.0000,0.00,0,0.00,0.0000,0
5,Whale Flow,-1.81,10.00,-4.3602,0.04,10,0.06,-0.1810,0
6,Volume Imbalance,-2.93,6.67,-3.7780,0.06,15,0.09,-0.1953,0
7,Pure Value,-4.27,21.88,-3.9185,0.09,32,0.19,-0.1334,0
8,Probability Arb,-80.32,30.16,-11.1933,1.74,252,1.50,-0.3187,0
