strategy,ts_iso,ticker,sport,side,entry,contracts,pnl_usd,won,edge_pp,reason
Pure Value,2025-10-01T13:50:17.116Z,KXBTCD-25OCT0110-T116749.99,Crypto,yes,0.1300,103,88.7900,1,6.318173913043479,"Pure value: 6.3pp edge, 51% confidence"
Pure Value,2025-10-03T02:37:45.631Z,KXBTCD-25OCT0223-T120249.99,Crypto,yes,0.1300,103,88.7900,1,6.094043016919989,"Pure value: 6.1pp edge, 46% confidence"
Pure Value,2025-10-06T21:23:12.968Z,KXBTCD-25OCT0618-T124999.99,Crypto,yes,0.1300,103,88.7900,1,6.459338997451147,"Pure value: 6.5pp edge, 44% confidence"
Pure Value,2025-10-06T22:08:53.760Z,KXBTCD-25OCT0619-T125249.99,Crypto,no,0.1300,103,88.7900,1,13.235028555662842,"Pure value: 13.2pp edge, 49% confidence"
Pure Value,2025-10-07T13:45:34.604Z,KXBTCD-25OCT0710-T123999.99,Crypto,yes,0.1300,103,88.7900,1,10.055371488396442,"Pure value: 10.1pp edge, 50% confidence"
Pure Value,2025-10-11T02:37:24.719Z,KXBTCD-25OCT1023-T112749.99,Crypto,yes,0.1300,103,88.7900,1,9.56127272727273,"Pure value: 9.6pp edge, 57% confidence"
Pure Value,2025-10-14T22:43:31.839Z,KXBTCD-25OCT1419-T113249.99,Crypto,yes,0.1300,103,88.7900,1,7.713866891728963,"Pure value: 7.7pp edge, 47% confidence"
Pure Value,2025-10-20T02:28:12.544Z,KXBTCD-25OCT1923-T108749.99,Crypto,yes,0.1300,103,88.7900,1,6.1754545454545475,"Pure value: 6.2pp edge, 46% confidence"
Pure Value,2025-10-20T14:18:05.832Z,KXBTCD-25OCT2011-T111249.99,Crypto,yes,0.1300,103,88.7900,1,6.632363636363639,"Pure value: 6.6pp edge, 43% confidence"
Pure Value,2025-10-03T08:16:23.977Z,KXBTCD-25OCT0317-T121499.99,Crypto,yes,0.1400,95,80.8900,1,6.68979866461222,"Pure value: 6.7pp edge, 51% confidence"
Pure Value,2025-10-05T16:40:53.414Z,KXBTCD-25OCT0513-T123249.99,Crypto,yes,0.1400,95,80.8900,1,7.886122979061755,"Pure value: 7.9pp edge, 46% confidence"
Pure Value,2025-10-07T01:53:32.703Z,KXBTCD-25OCT0622-T124749.99,Crypto,yes,0.1400,95,80.8900,1,6.141661216481359,"Pure value: 6.1pp edge, 45% confidence"
Pure Value,2025-10-08T13:43:27.223Z,KXBTCD-25OCT0810-T122249.99,Crypto,yes,0.1400,95,80.8900,1,8.676454545454543,"Pure value: 8.7pp edge, 56% confidence"
Pure Value,2025-10-11T05:25:12.554Z,KXBTCD-25OCT1117-T111999.99,Crypto,no,0.1400,95,80.8900,1,8.467617873651767,"Pure value: 8.5pp edge, 43% confidence"
Pure Value,2025-10-13T17:59:23.185Z,KXBTCD-25OCT1317-T115749.99,Crypto,yes,0.1400,95,80.8900,1,7.636909090909091,"Pure value: 7.6pp edge, 54% confidence"
Pure Value,2025-10-16T16:26:00.859Z,KXBTCD-25OCT1613-T108749.99,Crypto,yes,0.1400,95,80.8900,1,6.429178470254959,"Pure value: 6.4pp edge, 44% confidence"
Pure Value,2025-10-17T02:50:23.595Z,KXBTCD-25OCT1623-T108999.99,Crypto,yes,0.1400,95,80.8900,1,6.357272727272722,"Pure value: 6.4pp edge, 44% confidence"
