strategy,ts_iso,ticker,sport,side,entry,contracts,pnl_usd,won,edge_pp,reason
Dip Buy,2023-01-18T16:00:15.729Z,HIGHCHI-23JAN18-B38.5,Other,yes,0.1200,1,0.8700,1,6.787035378414689,"Dip buy: 64.8% below mean, edge=6.8pp"
Dip Buy,2023-01-21T17:06:57.254Z,HIGHCHI-23JAN21-B31.5,Other,yes,0.1200,1,0.8700,1,6.883607975667459,"Dip buy: 34.6% below mean, edge=6.9pp"
Dip Buy,2023-01-21T16:57:47.605Z,HIGHCHI-23JAN21-B31.5,Other,yes,0.1300,1,0.8600,1,6.528299120234604,"Dip buy: 31.2% below mean, edge=6.5pp"
Dip Buy,2023-01-21T16:54:59.832Z,HIGHCHI-23JAN21-B31.5,Other,yes,0.1400,1,0.8500,1,6.209044048734769,"Dip buy: 28.5% below mean, edge=6.2pp"
Dip Buy,2023-01-21T16:08:48.030Z,HIGHCHI-23JAN21-B31.5,Other,yes,0.1500,1,0.8400,1,6.087334510150044,"Dip buy: 27.5% below mean, edge=6.1pp"
Dip Buy,2023-01-21T16:26:15.992Z,HIGHCHI-23JAN21-B31.5,Other,yes,0.1500,1,0.8400,1,6.059090909090909,"Dip buy: 27.3% below mean, edge=6.1pp"
Dip Buy,2023-01-18T19:46:42.698Z,HIGHCHI-23JAN18-B40.5,Other,yes,0.3800,1,-0.3800,0,6.120382487078135,"Dip buy: 50.5% below mean, edge=6.1pp"
Dip Buy,2023-01-18T18:47:24.164Z,HIGHCHI-23JAN18-B40.5,Other,yes,0.3700,1,-0.3700,0,6.473789707845174,"Dip buy: 53.0% below mean, edge=6.5pp"
Dip Buy,2023-01-19T16:15:44.774Z,HIGHCHI-23JAN19-B43.5,Other,yes,0.2100,1,-0.2100,0,6.078602920395665,"Dip buy: 44.7% below mean, edge=6.1pp"
Dip Buy,2023-01-18T20:01:11.567Z,HIGHCHI-23JAN18-B40.5,Other,yes,0.1600,1,-0.1600,0,8.305230998509689,"Dip buy: 78.1% below mean, edge=8.3pp"
Dip Buy,2023-01-18T20:16:57.966Z,HIGHCHI-23JAN18-B40.5,Other,yes,0.1600,1,-0.1600,0,8.145573122529646,"Dip buy: 76.8% below mean, edge=8.1pp"
Dip Buy,2023-01-20T13:00:00.872Z,HIGHCHI-23JAN20-B32.5,Other,yes,0.1500,1,-0.1500,0,10.971670995670992,"Dip buy: 49.2% below mean, edge=11.0pp"
Dip Buy,2023-01-21T22:26:21.631Z,HIGHCHI-23JAN21-B33.5,Other,yes,0.1500,1,-0.1500,0,9.266671243494631,"Dip buy: 72.7% below mean, edge=9.3pp"
Dip Buy,2023-01-18T21:27:41.581Z,HIGHCHI-23JAN18-B40.5,Other,yes,0.1200,1,-0.1200,0,8.530060606060609,"Dip buy: 80.4% below mean, edge=8.5pp"
Dip Buy,2023-01-18T21:47:57.481Z,HIGHCHI-23JAN18-B40.5,Other,yes,0.1200,1,-0.1200,0,8.322918324722437,"Dip buy: 78.7% below mean, edge=8.3pp"
Whale Flow,2023-01-18T16:00:15.729Z,HIGHCHI-23JAN18-B38.5,Other,yes,0.1200,1,0.8700,1,6.787035378414689,Whale print mid=11.0¢
Whale Flow,2023-01-20T23:36:31.789Z,HIGHCHI-23JAN21-B31.5,Other,yes,0.1200,1,0.8700,1,4.104227795193312,Whale print mid=11.0¢
Whale Flow,2023-01-18T18:01:12.840Z,APRPOTUS-23JAN20-T43.0,Other,no,0.8100,1,-0.8100,0,14.162248803827755,Whale print mid=20.0¢
Whale Flow,2023-01-21T18:57:21.351Z,HIGHCHI-23JAN21-B31.5,Other,no,0.7600,1,-0.7600,0,8.72267230443974,Whale print mid=25.0¢
Whale Flow,2023-01-21T19:39:35.507Z,HIGHCHI-23JAN21-B31.5,Other,no,0.6700,1,-0.6700,0,17.096432778489117,Whale print mid=34.0¢
Whale Flow,2023-01-19T16:19:22.396Z,HIGHCHI-23JAN20-B34.5,Other,no,0.6500,1,-0.6500,0,4.024245989304809,Whale print mid=36.0¢
Whale Flow,2023-01-19T17:03:00.089Z,HIGHCHI-23JAN20-B34.5,Other,no,0.5800,1,-0.5800,0,5.50139184952978,Whale print mid=43.0¢
