rank,strategy,total_pnl_usd,win_rate_pct,sharpe_approx,max_dd_pct,trades,trades_per_hour,expectancy_per_trade_usd,synthetic_outcome_trades
1,Dip Buy,3.31,40.00,1.5779,0.03,15,0.13,0.2207,0
2,Fresh Wallet,0.00,0.00,0.0000,0.00,0,0.00,0.0000,0
3,Sharp Wallet,0.00,0.00,0.0000,0.00,0,0.00,0.0000,0
4,Market Maker,0.00,0.00,0.0000,0.00,0,0.00,0.0000,0
5,Whale Flow,-1.20,50.00,-0.4626,0.08,38,0.32,-0.0316,0
6,Volume Imbalance,-5.81,43.10,-1.6799,0.18,58,0.49,-0.1002,0
7,Pure Value,-7.48,48.70,-1.3251,0.38,154,1.29,-0.0486,0
8,Probability Arb,-10.61,25.56,-1.9672,0.43,180,1.51,-0.0589,0
